id,employee_id,department,performance_score,years_with_company,salary
1,1,Support,58.38,7,12998.55
2,2,Sales,99.16,10,6618.83
3,3,Human Resources,61.27,8,13745.26
4,4,Engineering,93.88,9,10233.23
5,5,Services,63.69,2,8878.93
6,6,Marketing,85.02,5,19578.67
7,7,Training,50.01,6,9394.29
8,8,Training,74.69,2,18932.08
9,9,Marketing,51.22,5,5274.88
10,10,Product Management,85.81,2,8017.29
11,11,Sales,58.22,7,19996.48
12,12,Engineering,72.3,9,16930.03
13,13,Marketing,53.33,1,9047.2
14,14,Product Management,20.93,1,13427.46
15,15,Sales,21.92,7,8477.03
16,16,Accounting,49.96,8,13213.37
17,17,Sales,69.42,9,11244.68
18,18,Sales,64.58,7,16951.11
19,19,Engineering,86.38,2,5646.46
20,20,Support,25.86,6,16132.64
21,21,Training,2.18,10,6860.31
22,22,Product Management,78.5,10,17818.89
23,23,Human Resources,81.55,3,11706.68
24,24,Marketing,87.85,7,11140.15
25,25,Training,62.13,10,9674.02
26,26,Support,13.5,8,18453.06
27,27,Research and Development,91.28,4,10303.8
28,28,Product Management,94.32,1,8145.85
29,29,Training,27.47,3,12020.27
30,30,Training,26.1,6,10467.44
31,31,Support,30.06,4,11338.3
32,32,Services,57.07,8,6897.68
33,33,Services,50.95,8,14996.66
34,34,Training,87.93,6,7958.98
35,35,Sales,69.1,3,16217.76
36,36,Research and Development,14.11,3,9402.77
37,37,Legal,94.37,3,7567.75
38,38,Legal,64.56,5,11066.15
39,39,Sales,1.65,8,7867.34
40,40,Product Management,92.48,8,10809.12
41,41,Sales,10.26,2,9798.86
42,42,Human Resources,55.02,7,9554.16
43,43,Sales,53.19,4,16267.36
44,44,Engineering,55.81,10,6981.69
45,45,Accounting,82.26,5,10584.67
46,46,Human Resources,18.13,7,19588.03
47,47,Engineering,30.76,9,17481.11
48,48,Services,35.45,5,14443.17
49,49,Product Management,71.53,1,18569.93
50,50,Product Management,69.29,3,18084.36
51,51,Engineering,38.18,4,5834.86
52,52,Research and Development,34.06,6,5932.96
53,53,Business Development,19.75,2,6386.26
54,54,Human Resources,53.23,8,7602.98
55,55,Accounting,9.19,3,13917.03
56,56,Engineering,57.78,4,11728.11
57,57,Engineering,94.2,7,15616.86
58,58,Legal,47.69,8,14743.89
59,59,Business Development,15.37,2,5599.59
60,60,Marketing,10.9,6,5761.0
61,61,Marketing,22.24,5,15022.48
62,62,Engineering,60.11,8,12578.39
63,63,Support,41.22,1,14536.99
64,64,Product Management,59.26,6,15948.43
65,65,Marketing,53.64,9,13270.82
66,66,Human Resources,46.65,9,19634.95
67,67,Services,95.25,3,9707.6
68,68,Engineering,98.88,2,11481.94
69,69,Human Resources,94.25,9,5647.69
70,70,Training,45.58,3,8222.04
71,71,Support,55.81,5,16303.26
72,72,Marketing,42.87,3,14550.68
